Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the comment field under social wall and uploaded post to enlarge field size within specific borders.,EL-95,10134,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,07/Sep/21 9:46 AM,07/Sep/21 9:53 AM,07/Sep/21 9:50 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-40,EL-3,,,,,,,,,,,,{},,,,,,,0|i000dz:,,EL Sprint 1,,,,,,,,In Progress
User should not be able to click post button with blank fields,EL-94,10133,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,07/Sep/21 9:25 AM,07/Sep/21 9:48 AM,07/Sep/21 9:48 AM,,,0,"Visiblity of upload file

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to the comment section under social wall and under uploaded post.

4. Enter emojies in command fields.

Expected result :
Use should be able to view emojies after posting the comment.

Actual result :
Use is not able to view emojies after posting the comment.



!emojies bug-20210907-091849.JPG|width=649,height=619!",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-3,EL-22,,EL-93,EL-22,,,,,,,,,,,,{},,,,,,,0|i000dr:,,EL Sprint 1,,,,,,,,To Do
User is not able to enter emojies.,EL-93,10132,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,07/Sep/21 9:17 AM,07/Sep/21 9:52 AM,07/Sep/21 9:37 AM,,,0,"Visiblity of upload file

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to the comment section under social wall and under uploaded post.

4. Enter emojies in command fields.

Expected result :
Use should be able to view emojies after posting the comment.

Actual result :
Use is not able to view emojies after posting the comment.



!emojies bug-20210907-091849.JPG|width=649,height=619!",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-3,EL-34,EL-9,EL-51,EL-9,EL-34,,07/Sep/21 9:21 AM;ug:6feb0850-d3f8-4ba7-b174-980b666fae0e;emojies bug-20210907-091849.JPG;https://corporateola100.atlassian.net/secure/attachment/10032/emojies+bug-20210907-091849.JPG,,,,,,,,,{},,,,,,,0|i000cv:,,EL Sprint 1,,,,,,,,To Do
Search button can be clicken with blank fields,EL-92,10131,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:52 AM,07/Sep/21 9:12 AM,07/Sep/21 9:37 AM,,,0,"Visiblity of search field

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to My Friends/My Groups section.
4. click on search button for more filter for no values in fields.

5. Go to friend, group field

Expected result :Use should not be able to click submit button with all empty fields.

Actual result :Use is able to click submit button with all empty fields.



!no fields filled-20210906-102112.JPG|width=897,height=286!",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-88,EL-76,,EL-91,EL-88,,,06/Sep/21 10:26 AM;ug:6feb0850-d3f8-4ba7-b174-980b666fae0e;no fields filled-20210906-102112.JPG;https://corporateola100.atlassian.net/secure/attachment/10030/no+fields+filled-20210906-102112.JPG,,,,,,,,,{},,,,,,,0|i000db:,,EL Sprint 1,,,,,,,,To Do
"User is able to put 256 characters in friend, group field.",EL-91,10130,Bug,To Do,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:47 AM,07/Sep/21 9:11 AM,07/Sep/21 9:37 AM,,,0,"Visiblity of search field

step to reproduce:

1. Go to the application
2. Go to the Social Network tab.
3. Go to My Friends/My Groups section.
4. click on search button for more filter.

5. Go to friend, group field

Expected result :Use should not be able type 256 characters.

Actual result :Use is able to type 256 characters



!search fg field-20210906-101851.JPG|width=869,height=344!",,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,EL-84,EL-76,,EL-73,EL-84,,,06/Sep/21 10:19 AM;ug:6feb0850-d3f8-4ba7-b174-980b666fae0e;search fg field-20210906-101851.JPG;https://corporateola100.atlassian.net/secure/attachment/10029/search+fg+field-20210906-101851.JPG,,,,,,,,,{},,,,,,,0|i000d3:,,EL Sprint 1,,,,,,,,To Do
Verify the search button for no results,EL-90,10129,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:30 AM,07/Sep/21 4:55 AM,07/Sep/21 4:14 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-89,EL-76,,,,,,,,,,,,{},,,,,,,0|i000cj:,,EL Sprint 1,,,,,,,,Done
Verify the search button for values in fields,EL-89,10128,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:28 AM,07/Sep/21 9:57 AM,07/Sep/21 4:28 AM,07/Sep/21 9:57 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-88,EL-76,,,,,,,,,,,,{},,,,,,,0|i000cn:,,EL Sprint 1,,,,,,,,Done
Verify the search button for null fields,EL-88,10127,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:27 AM,07/Sep/21 9:12 AM,07/Sep/21 4:26 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-87,EL-76,,,,,,,,,,,,{},,,,,,,0|i000cf:,,EL Sprint 1,,,,,,,,In Progress
Verify the text field in select field for alphanumeric values.,EL-87,10126,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:24 AM,07/Sep/21 4:55 AM,09/Sep/21 4:53 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-86,EL-76,,,,,,,,,,,,{},,,,,,,0|i000c7:,,EL Sprint 1,,,,,,,,Done
Verify the select field for options.,EL-86,10125,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,06/Sep/21 8:21 AM,07/Sep/21 4:55 AM,09/Sep/21 4:53 AM,07/Sep/21 4:55 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-85,EL-76,,,,,,,,,,,,{},,,,,,,0|i000bz:,,EL Sprint 1,,,,,,,,Done
